Exercise,Body_Part,Intensity,Equipment,Benefit
Rickshaw Carry,Arms,Unknown,Other,9.6
Single-Leg Press,Legs,Unknown,Machine,9.6
Landmine twist,Core,Unknown,Other,9.5
Weighted pull-up,Back,Unknown,Other,9.5
T-Bar Row with Handle,Back,Unknown,Other,9.5
Palms-down wrist curl over bench,Arms,Unknown,Barbell,9.5
Atlas Stones,Back,Unknown,Other,9.5
Dumbbell front raise to lateral raise,Shoulders,Unknown,Dumbbell,9.5
Clean from Blocks,Legs,Unknown,Barbell,9.5
Incline Hammer Curls,Arms,Unknown,Dumbbell,9.5
Straight-bar wrist roll-up,Arms,Unknown,None,9.5
Barbell glute bridge,Legs,Unknown,Barbell,9.4
Clean and press,Shoulders,Unknown,Barbell,9.4
Triceps dip,Arms,Unknown,Body Only,9.4
Dumbbell farmer's walk,Arms,Unknown,Other,9.4
Palms-up wrist curl over bench,Arms,Unknown,Barbell,9.4
Barbell Full Squat,Legs,Unknown,Barbell,9.4
Barbell deficit deadlift,Back,Unknown,Barbell,9.4
Barbell Deadlift,Legs,Unknown,Barbell,9.4
Single-arm palm-in dumbbell shoulder press,Shoulders,Unknown,Dumbbell,9.4
Romanian Deadlift With Dumbbells,Legs,Unknown,Dumbbell,9.4
Tire flip,Legs,Unknown,Other,9.4
Clean Deadlift,Legs,Unknown,Barbell,9.4
Elbow plank,Core,Unknown,Body Only,9.3
Bottoms Up,Core,Unknown,Body Only,9.3
Barbell back squat to box,Legs,Unknown,Barbell,9.3
Clean and jerk,Shoulders,Unknown,Barbell,9.3
Single-arm kettlebell push-press,Shoulders,Unknown,Kettlebells,9.3
Push-press,Legs,Unknown,Barbell,9.3
Suspended ab fall-out,Core,Unknown,Other,9.3
Military press,Shoulders,Unknown,Barbell,9.3
Power snatch-,Legs,Unknown,Barbell,9.3
Sumo deadlift,Legs,Unknown,Barbell,9.3
Hang Clean,Legs,Unknown,Barbell,9.3
Dumbbell V-Sit Cross Jab,Core,Unknown,Dumbbell,9.3
Reverse Band Box Squat,Legs,Unknown,None,9.3
Standing palms-in shoulder press,Shoulders,Unknown,Dumbbell,9.3
Standing cable low-to-high twist,Core,Unknown,Cable,9.3
Decline EZ-bar skullcrusher,Arms,Unknown,E-Z Curl Bar,9.3
Standing behind-the-back wrist curl,Arms,Unknown,Barbell,9.3
Seated finger curl,Arms,Unknown,Barbell,9.3
Wide-grip barbell curl,Arms,Unknown,Barbell,9.3
Dumbbell spell caster,Core,Unknown,Dumbbell,9.3
Dumbbell floor press,Arms,Unknown,Dumbbell,9.3
Lying Face Down Plate Neck Resistance,Full Body,Unknown,Other,9.3
Pullups,Back,Unknown,Body Only,9.2
Decline reverse crunch,Core,Unknown,Other,9.2
Dumbbell Bench Press,Chest,Unknown,Dumbbell,9.2
Jumping rope,Legs,Unknown,Body Only,9.2
Seated barbell shoulder press,Shoulders,Unknown,Barbell,9.2
EZ-bar spider curl,Arms,Unknown,Barbell,9.2
Smith machine shrug,Full Body,Unknown,Machine,9.2
Smith Machine Calf Raise,Full Body,Unknown,Machine,9.2
Romanian Deadlift from Deficit,Legs,Unknown,Barbell,9.2
Power Snatch,Legs,Unknown,Barbell,9.2
Pushups,Chest,Unknown,Body Only,9.2
Barbell walking lunge,Legs,Unknown,Barbell,9.2
Front Squats With Two Kettlebells,Legs,Unknown,Kettlebells,9.2
Spider crawl,Core,Unknown,Body Only,9.2
Power Clean from Blocks,Legs,Unknown,Barbell,9.2
Single Leg Push-off,Legs,Unknown,Other,9.2
Hip Circles (Prone),Full Body,Unknown,None,9.2
Reverse-grip bent-over row,Back,Unknown,Barbell,9.2
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Arms,Unknown,Cable,9.2
Back extension,Back,Unknown,Body Only,9.1
Close-grip bench press,Chest,Unknown,Barbell,9.1
Cocoons,Core,Unknown,Body Only,9.1
Cross-Body Crunch,Core,Unknown,Body Only,9.1
Dumbbell Flyes,Chest,Unknown,Dumbbell,9.1
Hammer Curls,Arms,Unknown,Dumbbell,9.1
Incline dumbbell bench press,Chest,Unknown,Dumbbell,9.1
Low-cable cross-over,Chest,Unknown,Cable,9.1
Single-arm high-cable side bend,Core,Unknown,Cable,9.1
Seated Dumbbell Press,Shoulders,Unknown,Dumbbell,9.1
Standing dumbbell shoulder press,Shoulders,Unknown,Dumbbell,9.1
Single Leg Push-off,Legs,Unknown,Other,9.2
Hip Circles (Prone),Full Body,Unknown,None,9.2
Reverse-grip bent-over row,Back,Unknown,Barbell,9.2
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Arms,Unknown,Cable,9.2
Back extension,Back,Unknown,Body Only,9.1
Close-grip bench press,Chest,Unknown,Barbell,9.1
Cocoons,Core,Unknown,Body Only,9.1
Cross-Body Crunch,Core,Unknown,Body Only,9.1
Dumbbell Flyes,Chest,Unknown,Dumbbell,9.1
Hammer Curls,Arms,Unknown,Dumbbell,9.1
Incline dumbbell bench press,Chest,Unknown,Dumbbell,9.1
Seated Dumbbell Press,Shoulders,Unknown,Dumbbell,9.1
Standing dumbbell shoulder press,Shoulders,Unknown,Dumbbell,9.1
EZ-Bar Curl,Arms,Unknown,E-Z Curl Bar,9.1
Olympic Squat,Legs,Unknown,Barbell,9.1
Natural Glute Ham Raise,Legs,Unknown,Body Only,9.1
Axle Deadlift,Back,Unknown,Other,9.1
Zottman Curl,Arms,Unknown,None,9.1
Glute ham raise-,Legs,Unknown,None,9.1
Single-arm lateral raise,Shoulders,Unknown,Dumbbell,9.1
Power Partials,Shoulders,Unknown,Dumbbell,9.1
Leverage Shrug,Full Body,Unknown,Machine,9.1
Cable V-bar push-down,Arms,Unknown,Cable,9.1
